station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-01,2,0,0,0.3,0,0,0,0,0.5,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,23.3
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,11.3,2,0.5,0,0.1,0,0,0,0,0,0,0,0,16.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,22.5
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-02,0,0,0,0,0,0,0,0,0,0,0.7,1.2,5.3,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,-,8.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-02,0,0,1.2,30.2,0,0,0,0,0,4.7,0,62.3,16.9,0,16.4,21.7,4.4,35.5,11.5,0,0,0,0,2.5,0,67.4,0,2.5,0,0.8,0,278
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-02,4.1,0,45.5,12.1,4.1,26.9,62.3,0,0.8,3.5,0,56,0,0,0,0,18.6,2,7.2,10.7,0.6,0.4,4.1,9,17.2,1.7,6.8,0.5,0.8,0.5,-,295.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-02,15.3,9.5,0,0,0,1.2,2.8,0,7.4,20,0,6.2,1.2,0,0,1.5,6.9,53,31.8,2.5,3.5,8.2,0.6,6,0.2,1,0,0,0.1,1.5,1,181.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-02,1.7,16.6,15.2,2.5,1,0.2,2.4,1.2,0.1,9.8,0.4,1,9.2,2,4.8,26,0,65.7,18,5.9,0,15.1,13.1,44.1,14,1.5,6.6,16.2,0.2,27.7,0,322.2
