น้ำระเหยถาด(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
32  ,376201-ตาก จ.ตาก,Aug-00,8.7,4.7,5.3,4.6,5,4.4,5.5,3,2,5.3,3.9,6.5,7.5,3.9,5.2,7.3,4.4,3.8,5.1,5.7,6.4,6.6,1.6,6,3.1,4.8,4.9,3.4,3.4,5.4,3.5,4.9
33  ,376201-ตาก จ.ตาก,Sep-00,1.9,5.9,2.3,2.1,1.6,2.1,3.9,6.6,4.7,4.3,2.9,4.7,0.9,6.6,3.1,1.8,5.4,4.1,3.3,5.1,4.9,1.8,1.3,1.5,2.9,4,3.3,4.6,2.1,2.1,-,3.4
34  ,376201-ตาก จ.ตาก,Oct-00,5,3.8,3.7,4.4,4.9,1.1,5.5,4.1,4.1,7,1.8,5.2,2.4,5.5,1.7,3.8,2.7,0.6,3.8,3.6,2,5.1,1.9,2.3,2.7,2.4,0.6,7.4,3.6,3.1,1.4,3.5
35  ,376201-ตาก จ.ตาก,Nov-00,4.4,2.3,4.4,4,2.4,4.8,3.2,1.9,4.6,3.1,3,4,3,3.1,3.3,3.5,2.5,3,3,1.9,4.9,2.3,1.5,2.2,3.5,2.1,2.9,2.1,2.9,4.1,-,3.1
36  ,376201-ตาก จ.ตาก,Dec-00,3.1,3.3,4.2,2.4,3.3,3.5,2.8,1.8,4.4,3.3,2.1,6.2,2.9,3.3,4.2,2.4,3.1,4.5,3.3,1.8,5,1.9,2.4,5.6,4.6,3.5,4.1,3.2,2.9,2.5,4.7,3.4
37  ,376201-ตาก จ.ตาก,Jan-01,3.7,4.3,2.8,2.1,4.2,3.1,2.8,3.6,4.2,3.7,6.6,4.7,2.9,2.1,2.9,0.7,3.5,4.2,3.3,3.1,3.3,2.3,6,6.1,4.8,8,5.4,2.7,4.4,4.3,6.9,4
38  ,376201-ตาก จ.ตาก,Feb-01,7.7,4.6,3.4,4.4,5.6,5.5,5.2,3.7,2,5.8,4.2,4.2,4.9,4.8,4.5,5.1,3.8,2.7,7.3,7.6,6.1,6.9,7.9,7.5,7.4,5.9,4.2,6.3,-,-,-,5.3
39  ,376201-ตาก จ.ตาก,Mar-01,5,4.7,5.7,4.3,3,8.1,6.2,5.1,2.3,2.2,0.2,1,0.3,0.2,5.4,6.5,6.3,6.5,3.2,3.8,6.8,3.2,2.9,5.4,7.5,6.9,7.2,8.1,7.3,4.7,4.4,4.7
40  ,376201-ตาก จ.ตาก,Apr-01,5,5.3,4.9,7.2,5.2,5.6,8.1,9.8,6.8,7.6,9.7,5.3,5.8,7.8,6.6,6.6,8,9.8,9.6,10,9.4,7.7,7.5,8.2,7.3,6.9,8.5,8.2,8.2,6.3,-,7.4
41  ,376201-ตาก จ.ตาก,May-01,3.2,1.9,0.6,3.7,3.8,5.4,3.5,5.2,4.6,5.2,8.7,7.1,8.5,3,4.8,1.8,3.1,5,1.8,3.3,3.8,5.8,6.1,4.7,3.3,4.6,4.2,2.4,3.6,1.4,1.6,4.1
