ความชื้นสัมพัทธ์(เปอร์เซ็นต์),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
82  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-20,84,84,85,87,81,88,80,78,80,79,78,77,79,80,85,78,76,74,72,81,81,84,79,79,79,77,80,85,76,78,84,80
83  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-20,81,83,79,85,82,80,81,79,77,73,78,77,80,77,76,76,78,80,81,77,75,79,77,81,80,79,75,78,77,78,-,79
84  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-20,75,77,77,76,78,76,77,78,78,81,81,80,77,78,78,79,79,80,79,76,70,73,77,76,76,76,77,74,72,72,77,77
85  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-21,77,77,78,78,76,74,75,77,73,72,73,68,67,74,73,71,70,72,70,70,71,69,68,70,70,70,70,69,71,79,76,73
86  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-21,68,65,63,62,63,66,75,82,69,66,67,65,64,62,63,64,65,74,72,67,66,63,63,63,57,57,57,61,-,-,-,65
87  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-21,57,55,59,54,48,54,61,60,54,61,64,66,58,54,53,51,50,52,52,51,47,49,56,57,52,56,52,52,45,45,48,54
88  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-21,44,43,59,67,78,90,71,62,57,64,64,56,58,60,60,71,79,66,60,60,52,53,56,54,62,76,79,76,73,76,-,64
89  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-21,77,73,66,65,65,79,72,74,72,69,73,71,65,62,66,60,65,73,70,61,62,63,68,63,64,79,67,69,84,83,81,70
90  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-21,72,70,69,67,84,84,79,80,84,81,73,82,86,90,84,82,80,77,73,76,79,79,84,86,79,74,77,78,83,82,-,79
91  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-21,88,89,83,81,79,84,83,84,85,86,79,81,74,73,82,81,77,78,78,88,82,82,86,83,86,88,84,88,85,80,84,82
92  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-21,92,90,87,85,86,87,85,85,80,77,87,83,85,88,85,88,86,84,81,81,77,74,76,78,84,81,82,79,84,81,80,83
93  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-21,82,82,84,79,79,80,85,85,85,83,87,82,78,80,84,85,85,77,76,81,83,81,83,85,86,85,88,83,78,79,-,82
94  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-21,79,83,76,81,79,79,78,83,79,81,90,86,83,77,86,84,78,80,88,82,82,82,83,85,82,82,81,85,83,88,84,82
95  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-21,82,81,84,85,83,82,82,84,80,82,81,81,80,81,81,80,82,80,80,75,80,80,80,79,84,81,81,80,79,78,-,81
96  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-21,77,78,76,78,75,74,79,79,79,79,79,80,80,77,76,78,77,77,77,77,76,79,76,77,78,77,79,79,76,74,76,77
97  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-22,75,74,73,71,70,69,69,71,71,75,73,77,74,75,81,84,75,75,80,82,76,71,69,68,68,68,70,67,67,62,63,72
98  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-22,61,60,60,64,79,75,69,66,64,60,62,63,57,61,60,64,69,70,81,60,62,57,59,58,58,60,60,56,-,-,-,63
99  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-22,53,57,58,60,58,54,57,59,64,59,57,56,56,55,54,52,52,67,63,58,66,79,72,54,54,54,52,54,57,57,54,58
100  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-22,53,61,49,54,54,72,73,67,68,61,56,55,55,55,53,59,69,56,68,73,70,62,60,60,64,60,66,62,67,77,-,62
101  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-22,72,74,73,64,88,78,84,81,85,82,84,81,71,69,67,67,68,82,83,88,93,79,79,81,73,72,67,74,72,71,85,77
102  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-22,75,76,73,70,76,70,67,73,82,77,82,81,75,70,76,83,86,84,79,81,80,77,75,81,73,74,79,81,79,88,-,78
103  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-22,92,85,83,73,71,79,91,80,75,80,79,81,83,88,82,76,73,72,76,81,88,89,84,83,80,77,75,70,77,76,82,80
104  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-22,80,89,81,76,82,79,81,88,90,81,83,92,86,80,88,84,82,81,83,79,88,82,78,75,79,80,87,76,78,81,78,82
