station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,average
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-01,58,51.0,49.0,54.0,56.0,53.0,51.0,51.0,50.0,52.0,51.0,52.0,53.0,49.0,48.0,49.0,50.0,46.0,45.0,49.0,49.0,53.0,43.0,44.0,47.0,46.0,46.0,45.0,45,48,-,49
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-01,70,75.0,72.0,66.0,63.0,69.0,70.0,62.0,63.0,66.0,72.0,69.0,68.0,78.0,74.0,81.0,81.0,74.0,67.0,76.0,78.0,68.0,72.0,76.0,75.0,75.0,87.0,82.0,84,82,86,74
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-01,84,88.0,78.0,79.0,77.0,75.0,75.0,74.0,69.0,77.0,75.0,79.0,82.0,86.0,84.0,82.0,83.0,79.0,79.0,75.0,78.0,78.0,83.0,81.0,76.0,77.0,84.0,84.0,83,88,-,80
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-01,91,80.0,72.0,73.0,80.0,81.0,80.0,86.0,92.0,87.0,83.0,82.0,85.0,82.0,88.0,84.0,87.0,90.0,91.0,91.0,90.0,91.0,89.0,84.0,86.0,82.0,90.0,81.0,80,89,89,85
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-01,87,90.0,88.0,82.0,82.0,86.0,86.0,81.0,85.0,80.0,86.0,92.0,88.0,86.0,88.0,82.0,80.0,79.0,79.0,79.0,78.0,73.0,76.0,73.0,77.0,77.0,79.0,78.0,78,79,80,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-01,75,76.0,78.0,90.0,88.0,81.0,76.0,73.0,81.0,87.0,81.0,77.0,83.0,88.0,85.0,80.0,81.0,76.0,79.0,78.0,84.0,88.0,82.0,86.0,85.0,83.0,83.0,83.0,85,85,-,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-01,81,83.0,83.0,80.0,83.0,90.0,81.0,80.0,84.0,81.0,81.0,84.0,80.0,80.0,81.0,84.0,83.0,79.0,79.0,81.0,78.0,75.0,72.0,86.0,91.0,86.0,86.0,85.0,88,86,84,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-01,82,82.0,80.0,80.0,84.0,78.0,77.0,80.0,78.0,79.0,84.0,79.0,81.0,83.0,74.0,77.0,76.0,81.0,79.0,65.0,73.0,77.0,79.0,80.0,77.0,80.0,74.0,79.0,76,80,-,78
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-01,81,83.0,82.0,82.0,83.0,82.0,83.0,82.0,81.0,79.0,79.0,78.0,81.0,80.0,80.0,80.0,80.0,81.0,80.0,85.0,85.0,81.0,81.0,84.0,79.0,77.0,83.0,79.0,78,77,79,81
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-02,79,82.0,78.0,77.0,79.0,80.0,78.0,77.0,78.0,76.0,75.0,79.0,79.0,78.0,77.0,75.0,71.0,74.0,70.0,69.0,72.0,74.0,78.0,73.0,77.0,76.0,71.0,74.0,73,74,75,76
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-02,77,69.0,71.0,68.0,65.0,67.0,66.0,65.0,66.0,67.0,64.0,65.0,64.0,66.0,74.0,77.0,73.0,67.0,67.0,68.0,67.0,61.0,60.0,66.0,59.0,61.0,59.0,61.0,-,-,-,66
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-02,61,61.0,61.0,56.0,60.0,59.0,56.0,59.0,58.0,56.0,58.0,58.0,55.0,55.0,53.0,54.0,58.0,56.0,54.0,51.0,50.0,54.0,61.0,54.0,49.0,46.0,49.0,51.0,52,51,55,55
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-02,54,47.0,46.0,43.0,44.0,49.0,49.0,50.0,42.0,47.0,50.0,61.0,64.0,65.0,56.0,51.0,52.0,48.0,47.0,45.0,47.0,50.0,54.0,53.0,62.0,59.0,58.0,53.0,50,51,-,52
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-02,54,55.0,62.0,73.0,72.0,66.0,60.0,55.0,56.0,64.0,70.0,84.0,88.0,80.0,74.0,90.0,92.0,94.0,89.0,81.0,72.0,67.0,67.0,75.0,72.0,77.0,73.0,77.0,75,73,68,73
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-02,71,74.0,76.0,81.0,84.0,83.0,86.0,80.0,83.0,82.0,81.0,84.0,84.0,77.0,81.0,78.0,81.0,84.0,86.0,87.0,82.0,82.0,86.0,89.0,81.0,86.0,84.0,86.0,82,81,-,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-02,86,89.0,85.0,83.0,81.0,83.0,87.0,84.0,86.0,88.0,84.0,84.0,86.0,83.0,81.0,85.0,90.0,83.0,88.0,90.0,92.0,87.0,88.0,84.0,83.0,85.0,83.0,82.0,80,84,73,85
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-02,83,94.0,86.0,83.0,85.0,84.0,80.0,83.0,80.0,84.0,83.0,85.0,85.0,89.0,87.0,89.0,84.0,82.0,91.0,85.0,85.0,90.0,92.0,91.0,91.0,87.0,81.0,85.0,87,86,80,86
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-02,81,82.0,87.0,93.0,85.0,91.0,88.0,90.0,85.0,86.0,87.0,84.0,82.0,84.0,86.0,85.0,86.0,88.0,86.0,88.0,87.0,89.0,83.0,82.0,82.0,84.0,82.0,80.0,85,89,-,86
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-02,84,83.0,82.0,83.0,87.0,91.0,75.0,73.0,77.0,77.0,78.0,80.0,78.0,78.0,79.0,81.0,78.0,79.0,83.0,81.0,79.0,82.0,89.0,82.0,85.0,87.0,86.0,89.0,83,80,80,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-02,82,87.0,88.0,92.0,76.0,81.0,80.0,81.0,81.0,83.0,83.0,81.0,81.0,86.0,82.0,82.0,81.0,81.0,81.0,80.0,82.0,84.0,84.0,83.0,88.0,95.0,87.0,86.0,86,84,-,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-02,83,85.0,82.0,84.0,84.0,80.0,79.0,81.0,84.0,84.0,84.0,83.0,82.0,80.0,81.0,82.0,79.0,82.0,80.0,79.0,79.0,82.0,79.0,85.0,89.0,79.0,80.0,82.0,84,86,83,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-03,90,95.0,84.0,83.0,95.0,82.0,84.0,82.0,81.0,81.0,84.0,85.0,84.0,83.0,83.0,83.0,82.0,83.0,80.0,80.0,79.0,81.0,80.0,80.0,81.0,79.0,78.0,80.0,81,80,78,83
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-03,75,80.0,78.0,80.0,78.0,83.0,79.0,80.0,77.0,80.0,77.0,79.0,75.0,76.0,74.0,72.0,67.0,71.0,72.0,73.0,73.0,73.0,69.0,69.0,69.0,68.0,69.0,68.0,-,-,-,74
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-03,67,68.0,67.0,70.0,70.0,67.0,68.0,66.0,63.0,70.0,69.0,70.0,71.0,75.0,73.0,70.0,67.0,65.0,66.0,64.0,62.0,63.0,65.0,65.0,63.0,54.0,55.0,55.0,61,66,59,66
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-03,53,54.0,55.0,59.0,56.0,55.0,64.0,58.0,53.0,54.0,55.0,50.0,47.0,47.0,49.0,53.0,53.0,54.0,54.0,55.0,62.0,63.0,61.0,59.0,54.0,55.0,65.0,64.0,66,73,-,57
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-03,83,72.0,70.0,63.0,60.0,62.0,59.0,54.0,80.0,70.0,74.0,79.0,87.0,80.0,79.0,79.0,87.0,87.0,85.0,79.0,71.0,68.0,71.0,77.0,74.0,67.0,63.0,68.0,79,73,81,74
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-03,85,84.0,88.0,87.0,77.0,86.0,85.0,83.0,75.0,80.0,82.0,74.0,75.0,71.0,73.0,77.0,76.0,80.0,78.0,79.0,89.0,79.0,83.0,85.0,82.0,85.0,88.0,89.0,89,87,-,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-03,79,83.0,78.0,80.0,79.0,76.0,87.0,85.0,80.0,82.0,77.0,79.0,84.0,82.0,78.0,76.0,72.0,68.0,69.0,73.0,79.0,80.0,86.0,85.0,83.0,80.0,81.0,79.0,81,86,84,80
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-03,79,78.0,87.0,81.0,80.0,72.0,78.0,82.0,85.0,83.0,84.0,93.0,87.0,83.0,78.0,80.0,86.0,83.0,79.0,86.0,90.0,84.0,85.0,90.0,85.0,85.0,85.0,84.0,78,78,80,83
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-03,85,84.0,86.0,90.0,85.0,80.0,86.0,85.0,87.0,87.0,86.0,80.0,87.0,90.0,86.0,82.0,75.0,79.0,82.0,83.0,85.0,85.0,85.0,90.0,87.0,81.0,80.0,81.0,79,78,-,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-03,89,82.0,78.0,75.0,76.0,79.0,76.0,81.0,81.0,82.0,79.0,80.0,82.0,91.0,88.0,80.0,79.0,79.0,84.0,83.0,83.0,83.0,84.0,80.0,81.0,84.0,80.0,80.0,83,85,86,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-03,82,81.0,82.0,82.0,76.0,72.0,76.0,78.0,79.0,78.0,80.0,78.0,78.0,79.0,80.0,79.0,78.0,73.0,75.0,75.0,76.0,81.0,81.0,78.0,77.0,82.0,81.0,79.0,82,78,-,79
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-03,75,82.0,78.0,80.0,81.0,80.0,76.0,79.0,79.0,78.0,80.0,79.0,81.0,76.0,78.0,77.0,76.0,81.0,79.0,81.0,79.0,78.0,79.0,78.0,76.0,79.0,78.0,79.0,79,80,80,79
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jan-98,81,80.0,81.0,81.0,82.0,80.0,81.0,81.0,80.0,75.0,76.0,74.0,73.0,74.0,76.0,75.0,77.0,78.0,77.0,77.0,73.0,78.0,77.0,76.0,75.0,74.0,72.0,75.0,79,77,72,77
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Feb-98,72,73.0,72.0,72.0,70.0,68.0,68.0,70.0,69.0,68.0,68.0,65.0,67.0,64.0,67.0,66.0,68.0,71.0,71.0,69.0,67.0,65.0,65.0,64.0,65.0,64.0,63.0,62.0,-,-,-,68
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Mar-98,61,61.0,59.0,58.0,63.0,59.0,57.0,58.0,52.0,52.0,52.0,60.0,59.0,61.0,61.0,61.0,56.0,57.0,56.0,54.0,50.0,55.0,51.0,56.0,60.0,59.0,59.0,60.0,54,56,57,57
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Apr-98,52,51.0,52.0,56.0,56.0,56.0,56.0,51.0,52.0,51.0,51.0,54.0,54.0,55.0,55.0,46.0,57.0,64.0,55.0,54.0,54.0,49.0,52.0,55.0,53.0,54.0,52.0,53.0,51,53,-,53
300202-แม่สะเรียง จ.แม่ฮ่องสอน,May-98,54,54.0,52.0,51.0,53.0,49.0,59.0,79.0,65.0,59.0,58.0,63.0,70.0,71.0,68.0,60.0,68.0,84.0,91.0,92.0,91.0,82.0,78.0,72.0,76.0,83.0,83.0,79.0,82,75,72,70
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jun-98,75,72.0,73.0,75.0,75.0,75.0,75.0,78.0,79.0,82.0,84.0,81.0,74.0,74.0,74.0,69.0,73.0,76.0,84.0,82.0,79.0,83.0,87.0,85.0,85.0,86.0,84.0,81.0,84,81,-,79
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jul-98,84,85.0,90.0,92.0,91.0,89.0,82.0,81.0,90.0,89.0,86.0,86.0,87.0,87.0,87.0,86.0,83.0,76.0,74.0,75.0,80.0,77.0,83.0,82.0,85.0,86.0,84.0,77.0,79,78,82,84
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Aug-98,85,89.0,89.0,88.0,84.0,80.0,77.0,82.0,84.0,85.0,82.0,84.0,80.0,80.0,81.0,88.0,83.0,89.0,87.0,85.0,84.0,82.0,84.0,86.0,83.0,85.0,79.0,78.0,82,77,80,83
